date,meter,chargers,building,cap,abovecap,control
2018-06-12 10:00,294,45,249,340,294,46
2018-06-12 10:01,267,45,222,340,267,60
2018-06-12 10:02,265,45,220,340,265,60
2018-06-12 10:03,323,17,306,340,323,17
2018-06-12 10:04,317,23,293,340,317,23
2018-06-12 10:05,341,0,341,340,340,0
2018-06-12 10:06,321,19,302,340,321,19
2018-06-12 10:07,334,6,328,340,334,6
2018-06-12 10:08,360,0,360,340,340,0
2018-06-12 10:09,359,0,359,340,340,0
2018-06-12 10:10,358,0,358,340,340,0
2018-06-12 10:11,328,0,328,340,328,12
2018-06-12 10:12,328,0,328,340,328,12
2018-06-12 10:13,321,0,321,340,321,19
2018-06-12 10:14,298,0,298,340,298,42
2018-06-12 10:15,272,0,272,300,272,28
2018-06-12 10:16,284,0,284,300,284,16
2018-06-12 10:17,266,0,266,300,266,34
2018-06-12 10:18,259,0,259,300,259,41
2018-06-12 10:19,259,0,259,300,259,41
2018-06-12 10:20,276,0,276,300,276,24
2018-06-12 10:21,268,0,268,300,268,32
2018-06-12 10:22,274,0,274,300,274,26
2018-06-12 10:23,242,0,242,300,242,58
2018-06-12 10:24,247,0,247,300,247,53
2018-06-12 10:25,235,0,235,300,235,60
2018-06-12 10:26,225,0,225,300,225,60
2018-06-12 10:27,267,0,267,300,267,33
2018-06-12 10:28,256,0,256,300,256,44
2018-06-12 10:29,223,0,223,300,223,60
2018-06-12 10:30,226,0,226,320,226,60
2018-06-12 10:31,219,0,219,320,219,60
2018-06-12 10:32,220,0,220,320,220,60
2018-06-12 10:33,220,0,220,320,220,60
2018-06-12 10:34,219,0,219,320,219,60
2018-06-12 10:35,211,0,211,320,211,60
2018-06-12 10:36,217,0,217,320,217,60
2018-06-12 10:37,300,0,300,320,300,20
2018-06-12 10:38,306,0,306,320,306,14
2018-06-12 10:39,312,0,312,320,312,8
2018-06-12 10:40,306,0,306,320,306,14
2018-06-12 10:41,314,0,314,320,314,6
2018-06-12 10:42,311,0,311,320,311,9
2018-06-12 10:43,347,0,347,320,320,0
